,Femmes,Hommes,Non-binaires
James Tait Black Prize for Fiction,30.3% (10),63.6% (21),6.1% (2)
Costa First Novel Award,48.4% (15),51.6% (16),0.0% (0)
Costa Novel Award,48.4% (15),51.6% (16),0.0% (0)
Costa Children's Book Award,71.0% (22),29.0% (9),0.0% (0)
Costa Poetry Award,32.3% (10),64.5% (20),3.2% (1)
Booker Prize,32.4% (11),67.6% (23),0.0% (0)
Costa Book of the Year,45.2% (14),54.8% (17),0.0% (0)
Costa Biography Award,43.8% (14),56.2% (18),0.0% (0)
BSFA Award for Best Novel,21.2% (7),78.8% (26),0.0% (0)
Gold Dagger,31.2% (10),68.8% (22),0.0% (0)
TS Eliot Prize,33.3% (10),66.7% (20),0.0% (0)
Women's Prize for Fiction,100.0% (27),0.0% (0),0.0% (0)
Baillie Gifford Prize for Non-Fiction,33.3% (8),66.7% (16),0.0% (0)
Ted Hughes Award for New Work in Poetry,50.0% (5),30.0% (3),20.0% (2)
James Tait Black Prize for Drama,37.5% (3),62.5% (5),0.0% (0)
